date,occupied_beds,open_beds,occupied_rolling_7d
2024/11/26,91012,96755,91012
2024/11/27,93045,96576,92028.5
2024/11/28,92969,96675,92342
2024/11/29,92859,95884,92471.25
2024/11/30,91851,95285,92347.2
2024/12/1,90390,94488,92021
2024/12/2,89595,95796,91674.42857142857
2024/12/3,91543,96101,91750.28571428571
2024/12/4,92308,96101,91645
2024/12/5,92340,96057,91555.14285714286
2024/12/6,92276,96506,91471.85714285714
2024/12/7,92414,95892,91552.28571428571
2024/12/8,90814,95610,91612.85714285714
2024/12/9,90658,96551,91764.71428571429
2024/12/10,92054,96858,91837.71428571429
2024/12/11,92804,96170,91908.57142857143
2024/12/12,92040,96380,91865.71428571429
2024/12/13,92302,96598,91869.42857142857
2024/12/14,92123,95710,91827.85714285714
2024/12/15,90107,95862,91726.85714285714
2024/12/16,90358,96638,91684
2024/12/17,91842,96177,91653.71428571429
2024/12/18,92111,96891,91554.71428571429
2024/12/19,92703,96633,91649.42857142857
2024/12/20,92150,96490,91627.71428571429
2024/12/21,91622,96415,91556.14285714286
2024/12/22,89785,95793,91510.14285714286
2024/12/23,88936,95972,91307
2024/12/24,89788,95564,91013.57142857143
2024/12/25,88200,94504,90454.85714285714
2024/12/26,81980,94565,88923
2024/12/27,83398,95024,87672.71428571429
2024/12/28,86347,95330,86919.14285714286
2024/12/29,87611,95639,86608.57142857143
2024/12/30,88743,95864,86581
2024/12/31,90306,96921,86655
2025/1/1,91865,95837,87178.57142857143
2025/1/2,89985,96759,88322.14285714286
2025/1/3,91585,97174,89491.71428571429
2025/1/4,92753,96641,90406.85714285714
2025/1/5,91791,95998,91004
2025/1/6,91150,97877,91347.85714285714
2025/1/7,93677,97643,91829.42857142857
2025/1/8,93965,98415,92129.42857142857
2025/1/9,94817,98080,92819.71428571429
2025/1/10,94473,97762,93232.28571428571
2025/1/11,93851,97088,93389.14285714286
2025/1/12,92252,97068,93455
2025/1/13,92049,97586,93583.42857142857
2025/1/14,93278,97119,93526.42857142857
2025/1/15,93416,97383,93448
2025/1/16,93598,96916,93273.85714285714
2025/1/17,93183,97101,93089.57142857143
2025/1/18,93252,97123,93004
2025/1/19,91990,96998,92966.57142857143
2025/1/20,91967,96801,92954.85714285714
2025/1/21,92402,97766,92829.71428571429
2025/1/22,93936,97757,92904
2025/1/23,93955,97641,92955
2025/1/24,93777,97164,93039.85714285714
2025/1/25,93344,96897,93053
2025/1/26,92171,96936,93078.85714285714
2025/1/27,92240,97598,93117.85714285714
2025/1/28,93558,97995,93283
2025/1/29,94587,98064,93376
2025/1/30,94646,97696,93474.71428571429
2025/1/31,94213,97239,93537
2025/2/1,93443,97168,93551.14285714286
2025/2/2,92285,97100,93567.42857142857
2025/2/3,92108,96928,93548.57142857143
2025/2/4,92652,97866,93419.14285714286
2025/2/5,94108,97804,93350.71428571429
2025/2/6,94025,97740,93262
2025/2/7,93678,97496,93185.57142857143
2025/2/8,93269,96919,93160.71428571429
2025/2/9,91413,96859,93036.14285714286
2025/2/10,91652,97415,92971
2025/2/11,92747,97465,92984.57142857143
2025/2/12,93677,97581,92923
2025/2/13,93712,97237,92878.28571428571
2025/2/14,93159,96974,92804.14285714286
2025/2/15,92869,96526,92747
2025/2/16,91334,96494,92735.71428571429
2025/2/17,91212,97022,92672.85714285714
2025/2/18,92365,97259,92618.28571428571
2025/2/19,93197,97275,92549.71428571429
2025/2/20,93141,97120,92468.14285714286
2025/2/21,92853,97048,92424.42857142857
2025/2/22,92826,96572,92418.28571428571
2025/2/23,91345,96467,92419.85714285714
2025/2/24,91442,97083,92452.71428571429
2025/2/25,92740,97410,92506.28571428571
2025/2/26,93758,97049,92586.42857142857
2025/2/27,93342,97349,92615.14285714286
2025/2/28,93494,97206,92706.71428571429
2025/3/1,93286,96630,92772.42857142857
2025/3/2,91576,96569,92805.42857142857
2025/3/3,91409,96461,92800.71428571429
2025/3/4,91995,96747,92694.28571428571
2025/3/5,92814,96733,92559.42857142857
2025/3/6,92744,97027,92474
2025/3/7,92831,96900,92379.28571428571
2025/3/8,92386,96439,92250.71428571429
2025/3/9,90868,96312,92149.57142857143
2025/3/10,90623,97050,92037.28571428571
2025/3/11,91861,96519,92018.14285714286
2025/3/12,92063,96935,91910.85714285714
2025/3/13,92199,96765,91833
2025/3/14,91725,97324,91675
2025/3/15,91978,96644,91616.71428571429
2025/3/16,89803,96668,91464.57142857143
2025/3/17,90021,96234,91378.57142857143
2025/3/18,90289,96427,91154
2025/3/19,91313,96058,91046.85714285714
2025/3/20,90854,96155,90854.71428571429
2025/3/21,90821,96272,90725.57142857143
2025/3/22,90783,95387,90554.85714285714
2025/3/23,88838,95500,90417
2025/3/24,89027,96267,90275
2025/3/25,90445,96722,90297.28571428571
2025/3/26,91772,96426,90362.85714285714
2025/3/27,91466,96479,90450.28571428571
2025/3/28,91376,96373,90529.57142857143
2025/3/29,91052,95280,90568
2025/3/30,88781,95360,90559.85714285714
